"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Desha County, AR"	"05041"	163	11876	13.725	10.839
	"Drew County, AR"	"05043"	230	18651	12.332	9.941
	"Faulkner County, AR"	"05045"	976	122227	7.985	8.954
	"Franklin County, AR"	"05047"	255	17626	14.467	11.033
	"Fulton County, AR"	"05049"	151	12123	12.456	7.222
	"Garland County, AR"	"05051"	1379	97477	14.147	9.503
	"Grant County, AR"	"05053"	221	18082	12.222	9.936
	"Greene County, AR"	"05055"	490	44598	10.987	9.941
	"Hempstead County, AR"	"05057"	226	21974	10.285	8.041
	"Hot Spring County, AR"	"05059"	433	33374	12.974	10.122
	"Howard County, AR"	"05061"	155	13377	11.587	8.972
	"Independence County, AR"	"05063"	434	37168	11.677	9.158
	"Izard County, AR"	"05065"	182	13433	13.549	8.097
	"Jackson County, AR"	"05067"	238	17221	13.820	11.202
	"Jefferson County, AR"	"05069"	859	70016	12.269	10.440
	"Johnson County, AR"	"05071"	258	26176	9.856	8.478
	"Lafayette County, AR"	"05073"	109	6847	15.919	10.600
	"Lawrence County, AR"	"05075"	260	16735	15.536	10.893
	"Lee County, AR"	"05077"	107	9310	11.493	8.580
	"Lincoln County, AR"	"05079"	142	13705	10.361	9.301
	"Little River County, AR"	"05081"	184	12451	14.778	11.058
	"Logan County, AR"	"05083"	254	21792	11.656	8.299
	"Lonoke County, AR"	"05085"	701	72228	9.705	9.854
	"Madison County, AR"	"05087"	192	16072	11.946	9.580
	"Marion County, AR"	"05089"	258	16325	15.804	9.209
	"Miller County, AR"	"05091"	522	43787	11.921	10.284
	"Mississippi County, AR"	"05093"	514	42835	12.000	11.161
	"Monroe County, AR"	"05095"	143	7169	19.947	13.236
	"Montgomery County, AR"	"05097"	154	8879	17.344	9.628
	"Nevada County, AR"	"05099"	130	8398	15.480	10.793
	"Newton County, AR"	"05101"	81	7936	10.207	6.682
	"Ouachita County, AR"	"05103"	345	24098	14.317	10.196
	"Perry County, AR"	"05105"	131	10132	12.929	9.872
	"Phillips County, AR"	"05107"	254	18975	13.386	11.011
	"Pike County, AR"	"05109"	113	10832	10.432	7.846
	"Poinsett County, AR"	"05111"	348	24023	14.486	11.766
	"Polk County, AR"	"05113"	243	20173	12.046	8.286
	"Pope County, AR"	"05115"	587	63779	9.204	8.517
	"Prairie County, AR"	"05117"	105	8251	12.726	8.239
	"Pulaski County, AR"	"05119"	3663	393250	9.315	8.393
	"Randolph County, AR"	"05121"	230	17448	13.182	9.143
	"St. Francis County, AR"	"05123"	282	26196	10.765	9.713
	"Saline County, AR"	"05125"	1104	118703	9.301	7.702
	"Scott County, AR"	"05127"	148	10277	14.401	11.132
	"Searcy County, AR"	"05129"	133	7967	16.694	10.330
	"Sebastian County, AR"	"05131"	1288	127793	10.079	8.838
	"Sevier County, AR"	"05133"	163	16910	9.639	9.215
	"Sharp County, AR"	"05135"	285	17157	16.611	10.194
	"Stone County, AR"	"05137"	173	12539	13.797	8.111
	"Union County, AR"	"05139"	514	39887	12.886	10.035
	"Van Buren County, AR"	"05141"	244	16628	14.674	8.520
	"Washington County, AR"	"05143"	1603	228049	7.029	7.874
	"White County, AR"	"05145"	841	79263	10.610	9.290
	"Woodruff County, AR"	"05147"	114	6641	17.166	10.903
	"Yell County, AR"	"05149"	259	21552	12.017	9.567
	"Alameda County, CA"	"06001"	9920	1647704	6.020	5.714
	"Alpine County, CA"	"06003"	14	1071	13.072 (Unreliable)	10.208 (Unreliable)
	"Amador County, CA"	"06005"	448	37383	11.984	7.044
	"Butte County, CA"	"06007"	2440	226864	10.755	8.057
	"Calaveras County, CA"	"06009"	530	45171	11.733	7.168
	"Colusa County, CA"	"06011"	161	21588	7.458	6.844
	"Contra Costa County, CA"	"06013"	7713	1135127	6.795	5.806
	"Del Norte County, CA"	"06015"	299	27540	10.857	8.797
	"El Dorado County, CA"	"06017"	1520	185625	8.189	6.074
	"Fresno County, CA"	"06019"	6717	979915	6.855	7.191
	"Glenn County, CA"	"06021"	257	28085	9.151	7.751
	"Humboldt County, CA"	"06023"	1373	136646	10.048	8.512
	"Imperial County, CA"	"06025"	1121	180883	6.197	6.112
	"Inyo County, CA"	"06027"	230	18144	12.676	7.935
	"Kern County, CA"	"06029"	6038	884788	6.824	8.236
	"Kings County, CA"	"06031"	832	149785	5.555	6.916
	"Lake County, CA"	"06033"	853	64116	13.304	9.230
	"Lassen County, CA"	"06035"	253	30870	8.196	7.485
	"Los Angeles County, CA"	"06037"	63185	10137915	6.233	5.893
	"Madera County, CA"	"06039"	1105	154697	7.143	7.172
	"Marin County, CA"	"06041"	1905	260651	7.309	4.639
	"Mariposa County, CA"	"06043"	214	17410	12.292	8.031
	"Mendocino County, CA"	"06045"	873	87628	9.963	7.250
	"Merced County, CA"	"06047"	1850	268672	6.886	7.887
	"Modoc County, CA"	"06049"	128	8795	14.554	9.247
	"Mono County, CA"	"06051"	51	13981	3.648	3.379
	"Monterey County, CA"	"06053"	2573	435232	5.912	5.692
	"Napa County, CA"	"06055"	1242	142166	8.736	6.209
	"Nevada County, CA"	"06057"	1023	99107	10.322	6.153
	"Orange County, CA"	"06059"	19588	3172532	6.174	5.495
	"Placer County, CA"	"06061"	3207	380531	8.428	5.953
	"Plumas County, CA"	"06063"	217	18627	11.650	7.207
	"Riverside County, CA"	"06065"	16227	2387741	6.796	6.356
	"Sacramento County, CA"	"06067"	11260	1514460	7.435	6.917
	"San Benito County, CA"	"06069"	340	59414	5.723	5.976
	"San Bernardino County, CA"	"06071"	14109	2140096	6.593	7.500
	"San Diego County, CA"	"06073"	21420	3317749	6.456	5.942
	"San Francisco County, CA"	"06075"	5813	870887	6.675	5.394
	"San Joaquin County, CA"	"06077"	5494	733709	7.488	7.648
	"San Luis Obispo County, CA"	"06079"	2411	282887	8.523	6.112
	"San Mateo County, CA"	"06081"	4737	764797	6.194	4.981
	"Santa Barbara County, CA"	"06083"	3156	446170	7.074	5.828
	"Santa Clara County, CA"	"06085"	10120	1919402	5.272	5.003
	"Santa Cruz County, CA"	"06087"	1744	274673	6.349	5.669
	"Shasta County, CA"	"06089"	2270	179631	12.637	8.851
	"Sierra County, CA"	"06091"	36	2947	12.216	6.636
	"Siskiyou County, CA"	"06093"	614	43603	14.082	8.928
	"Solano County, CA"	"06095"	3271	440207	7.431	6.728
	"Sonoma County, CA"	"06097"	4156	503070	8.261	6.067
	"Stanislaus County, CA"	"06099"	4294	541560	7.929	7.937
	"Sutter County, CA"	"06101"	869	96651	8.991	7.717
	"Tehama County, CA"	"06103"	693	63276	10.952	8.279
	"Trinity County, CA"	"06105"	154	12782	12.048	7.884
	"Tulare County, CA"	"06107"	3023	460437	6.566	7.540
	"Tuolumne County, CA"	"06109"	657	53804	12.211	7.596
	"Ventura County, CA"	"06111"	5563	849738	6.547	5.727
	"Yolo County, CA"	"06113"	1290	215802	5.978	6.155
	"Yuba County, CA"	"06115"	639	75275	8.489	9.267
	"Adams County, CO"	"08001"	2987	498187	5.996	7.603
	"Alamosa County, CO"	"08003"	155	16654	9.307	9.542
	"Arapahoe County, CO"	"08005"	3903	637068	6.127	6.364
	"Archuleta County, CO"	"08007"	105	12854	8.169	5.895
	"Baca County, CO"	"08009"	45	3568	12.612	5.746
	"Bent County, CO"	"08011"	65	5861	11.090	8.317
	"Boulder County, CO"	"08013"	1807	322226	5.608	5.595
	"Broomfield County, CO"	"08014"	345	66529	5.186	5.217
	"Chaffee County, CO"	"08015"	183	19058	9.602	6.366
	"Cheyenne County, CO"	"08017"	15	1848	8.117 (Unreliable)	4.851 (Unreliable)
	"Clear Creek County, CO"	"08019"	57	9436	6.041	5.060
	"Conejos County, CO"	"08021"	83	8129	10.210	8.301
	"Costilla County, CO"	"08023"	35	3721	9.406	6.626
	"Crowley County, CO"	"08025"	51	5694	8.957	8.977
	"Custer County, CO"	"08027"	46	4602	9.996	6.193
	"Delta County, CO"	"08029"	388	30442	12.746	7.812
	"Denver County, CO"	"08031"	4604	693060	6.643	7.259
	"Dolores County, CO"	"08033"	20	2056	9.728	7.013
	"Douglas County, CO"	"08035"	1379	328632	4.196	5.137
	"Eagle County, CO"	"08037"	111	53989	2.056	2.999
	"Elbert County, CO"	"08039"	143	25231	5.668	5.778
	"El Paso County, CO"	"08041"	4705	688284	6.836	7.376
	"Fremont County, CO"	"08043"	565	47446	11.908	8.122
	"Garfield County, CO"	"08045"	331	58887	5.621	6.304
	"Gilpin County, CO"	"08047"	29	5931	4.890	4.487
	"Grand County, CO"	"08049"	48	15008	3.198	3.309
	"Gunnison County, CO"	"08051"	73	16408	4.449	5.527
	"Hinsdale County, CO"	"08053"	Suppressed	788	Suppressed	Suppressed
	"Huerfano County, CO"	"08055"	102	6677	15.276	9.336
	"Jackson County, CO"	"08057"	12	1357	8.843 (Unreliable)	6.095 (Unreliable)
	"Jefferson County, CO"	"08059"	4348	571837	7.604	6.559
	"Kiowa County, CO"	"08061"	21	1373	15.295	8.315
	"Kit Carson County, CO"	"08063"	76	8195	9.274	6.550
	"Lake County, CO"	"08065"	43	7618	5.645	6.121
	"La Plata County, CO"	"08067"	348	55623	6.256	5.947
	"Larimer County, CO"	"08069"	2297	339993	6.756	6.234
	"Las Animas County, CO"	"08071"	188	14103	13.330	9.247
	"Lincoln County, CO"	"08073"	56	5643	9.924	6.767
	"Logan County, CO"	"08075"	263	21919	11.999	9.060
	"Mesa County, CO"	"08077"	1511	150083	10.068	7.758
	"Mineral County, CO"	"08079"	10	732	13.661 (Unreliable)	6.344 (Unreliable)
	"Moffat County, CO"	"08081"	103	13109	7.857	7.455
	"Montezuma County, CO"	"08083"	260	26999	9.630	7.576
	"Montrose County, CO"	"08085"	445	41471	10.730	6.914
	"Morgan County, CO"	"08087"	273	28274	9.656	7.682
	"Otero County, CO"	"08089"	219	18295	11.970	8.327
	"Ouray County, CO"	"08091"	28	4857	5.765	4.340
	"Park County, CO"	"08093"	109	17166	6.350	6.821
	"Phillips County, CO"	"08095"	51	4288	11.894	7.020
	"Pitkin County, CO"	"08097"	50	17752	2.817	2.554
	"Prowers County, CO"	"08099"	154	11922	12.917	10.368
	"Pueblo County, CO"	"08101"	1721	165123	10.423	8.164
	"Rio Blanco County, CO"	"08103"	52	6545	7.945	6.932
	"Rio Grande County, CO"	"08105"	137	11479	11.935	8.603
	"Routt County, CO"	"08107"	111	24648	4.503	4.864
	"Saguache County, CO"	"08109"	46	6389	7.200	6.340
	"San Juan County, CO"	"08111"	Suppressed	694	Suppressed	Suppressed
	"San Miguel County, CO"	"08113"	24	8017	2.994	2.238
	"Sedgwick County, CO"	"08115"	31	2407	12.879	6.472
	"Summit County, CO"	"08117"	65	30374	2.140	2.847
	"Teller County, CO"	"08119"	167	24043	6.946	6.249
	"Washington County, CO"	"08121"	60	4908	12.225	7.544
	"Weld County, CO"	"08123"	1758	294932	5.961	6.628
	"Yuma County, CO"	"08125"	104	10103	10.294	6.903
	"Fairfield County, CT"	"09001"	6899	944177	7.307	5.852
	"Hartford County, CT"	"09003"	7984	892389	8.947	6.769
	"Litchfield County, CT"	"09005"	1808	182571	9.903	6.623
	"Middlesex County, CT"	"09007"	1541	163329	9.435	6.414
	"New Haven County, CT"	"09009"	7745	856875	9.039	6.859
	"New London County, CT"	"09011"	2462	269801	9.125	6.961
	"Tolland County, CT"	"09013"	1057	151118	6.995	6.093
	"Windham County, CT"	"09015"	1047	116192	9.011	7.490
	"Kent County, DE"	"10001"	1618	174827	9.255	7.948
	"New Castle County, DE"	"10003"	4678	556987	8.399	7.360
	"Sussex County, DE"	"10005"	2578	220251	11.705	7.495
	"District of Columbia, DC"	"11001"	5037	681170	7.395	7.660
	"Alachua County, FL"	"12001"	1946	263496	7.385	7.273
	"Baker County, FL"	"12003"	247	27937	8.841	8.653
	"Bay County, FL"	"12005"	1924	183974	10.458	8.504
	"Bradford County, FL"	"12007"	314	26926	11.662	8.706
	"Brevard County, FL"	"12009"	7315	579130	12.631	7.698
	"Broward County, FL"	"12011"	15282	1909632	8.003	6.271
	"Calhoun County, FL"	"12013"	184	14423	12.757	9.614
	"Charlotte County, FL"	"12015"	2564	178465	14.367	6.193
	"Citrus County, FL"	"12017"	2503	143621	17.428	8.457
	"Clay County, FL"	"12019"	1748	208311	8.391	7.832
	"Collier County, FL"	"12021"	3273	365136	8.964	4.339
	"Columbia County, FL"	"12023"	772	69299	11.140	8.673
	"DeSoto County, FL"	"12027"	334	35800	9.330	6.727
	"Dixie County, FL"	"12029"	204	16300	12.515	8.892
	"Duval County, FL"	"12031"	8064	926255	8.706	8.274
	"Escambia County, FL"	"12033"	3303	315187	10.479	8.668
	"Flagler County, FL"	"12035"	1280	108310	11.818	6.501
	"Franklin County, FL"	"12037"	145	11901	12.184	9.003
	"Gadsden County, FL"	"12039"	464	46006	10.086	8.423
	"Gilchrist County, FL"	"12041"	162	17212	9.412	6.715
	"Glades County, FL"	"12043"	120	13970	8.590	5.747
	"Gulf County, FL"	"12045"	183	15990	11.445	8.690
	"Hamilton County, FL"	"12047"	130	14361	9.052	7.708
	"Hardee County, FL"	"12049"	229	27360	8.370	7.255
	"Hendry County, FL"	"12051"	311	39290	7.916	7.663
	"Hernando County, FL"	"12053"	2734	182835	14.953	8.093
	"Highlands County, FL"	"12055"	1574	100917	15.597	7.305
	"Hillsborough County, FL"	"12057"	10640	1376238	7.731	7.263
	"Holmes County, FL"	"12059"	259	19487	13.291	9.722
	"Indian River County, FL"	"12061"	2076	151563	13.697	6.313
	"Jackson County, FL"	"12063"	610	48229	12.648	9.148
	"Jefferson County, FL"	"12065"	191	13906	13.735	9.368
	"Lafayette County, FL"	"12067"	75	8617	8.704	7.994
	"Lake County, FL"	"12069"	4110	335396	12.254	6.997
	"Lee County, FL"	"12071"	6949	722336	9.620	5.593
	"Leon County, FL"	"12073"	1802	287822	6.261	6.614
	"Levy County, FL"	"12075"	560	39961	14.014	9.123
	"Liberty County, FL"	"12077"	59	8202	7.193	7.800
	"Madison County, FL"	"12079"	231	18224	12.676	9.208
	"Manatee County, FL"	"12081"	4055	375888	10.788	6.382
	"Marion County, FL"	"12083"	5097	349020	14.604	8.451
	"Martin County, FL"	"12085"	1994	158701	12.565	5.939
	"Miami-Dade County, FL"	"12086"	20277	2712945	7.474	5.886
	"Monroe County, FL"	"12087"	747	79077	9.446	6.611
	"Nassau County, FL"	"12089"	839	80622	10.407	7.689
	"Okaloosa County, FL"	"12091"	1737	201170	8.634	7.525
	"Okeechobee County, FL"	"12093"	469	40314	11.634	8.819
	"Orange County, FL"	"12095"	7960	1314367	6.056	6.659
	"Osceola County, FL"	"12097"	2169	336015	6.455	6.546
	"Palm Beach County, FL"	"12099"	14656	1443810	10.151	5.754
	"Pasco County, FL"	"12101"	6030	512368	11.769	7.598
	"Pinellas County, FL"	"12103"	11843	960730	12.327	7.071
	"Polk County, FL"	"12105"	6699	666149	10.056	7.395
	"Putnam County, FL"	"12107"	962	72277	13.310	9.151
	"St. Johns County, FL"	"12109"	1922	235087	8.176	6.052
	"St. Lucie County, FL"	"12111"	3222	306507	10.512	6.629
	"Santa Rosa County, FL"	"12113"	1445	170497	8.475	7.778
	"Sarasota County, FL"	"12115"	5689	412569	13.789	5.875
	"Seminole County, FL"	"12117"	3433	455479	7.537	6.373
	"Sumter County, FL"	"12119"	1848	123996	14.904	6.046
	"Suwannee County, FL"	"12121"	559	43794	12.764	8.830
	"Taylor County, FL"	"12123"	281	22175	12.672	9.855
	"Union County, FL"	"12125"	233	15142	15.388	14.936
	"Volusia County, FL"	"12127"	7006	529364	13.235	7.984
	"Wakulla County, FL"	"12129"	304	31893	9.532	9.313
	"Walton County, FL"	"12131"	635	65889	9.637	7.463
	"Washington County, FL"	"12133"	331	24569	13.472	10.783
	"Appling County, GA"	"13001"	192	18428	10.419	8.751
	"Atkinson County, GA"	"13003"	84	8273	10.154	11.566
	"Bacon County, GA"	"13005"	137	11372	12.047	11.095
	"Baker County, GA"	"13007"	44	3150	13.968	9.993
	"Baldwin County, GA"	"13009"	455	45144	10.079	9.295
	"Banks County, GA"	"13011"	148	18397	8.045	7.136
	"Barrow County, GA"	"13013"	556	77126	7.209	7.919
	"Bartow County, GA"	"13015"	919	103807	8.853	9.051
	"Ben Hill County, GA"	"13017"	217	17243	12.585	11.056
	"Berrien County, GA"	"13019"	231	18993	12.162	10.225
	"Bibb County, GA"	"13021"	1686	152760	11.037	9.856
	"Bleckley County, GA"	"13023"	147	12970	11.334	9.030
	"Brantley County, GA"	"13025"	198	18355	10.787	9.733
	"Brooks County, GA"	"13027"	195	15687	12.431	10.014
	"Bryan County, GA"	"13029"	271	36230	7.480	8.668
	"Bulloch County, GA"	"13031"	539	74722	7.213	8.760
	"Burke County, GA"	"13033"	246	22688	10.843	9.909
	"Butts County, GA"	"13035"	276	23817	11.588	10.238
	"Calhoun County, GA"	"13037"	60	6324	9.488	8.059
	"Camden County, GA"	"13039"	362	53008	6.829	7.793
	"Candler County, GA"	"13043"	149	10910	13.657	11.298
	"Carroll County, GA"	"13045"	1083	116261	9.315	9.657
	"Catoosa County, GA"	"13047"	681	66398	10.256	8.572
	"Charlton County, GA"	"13049"	85	12497	6.802	6.095
	"Chatham County, GA"	"13051"	2493	289082	8.624	8.055
	"Chattahoochee County, GA"	"13053"	38	10922	3.479	8.410
	"Chattooga County, GA"	"13055"	330	24824	13.294	10.946
	"Cherokee County, GA"	"13057"	1500	241689	6.206	6.985
	"Clarke County, GA"	"13059"	764	124707	6.126	7.597
	"Clay County, GA"	"13061"	52	3020	17.219	11.001
	"Clayton County, GA"	"13063"	1655	279462	5.922	8.270
	"Clinch County, GA"	"13065"	93	6829	13.618	12.963
	"Cobb County, GA"	"13067"	4298	748150	5.745	6.675
	"Coffee County, GA"	"13069"	437	43012	10.160	10.701
	"Colquitt County, GA"	"13071"	468	45708	10.239	9.768
	"Columbia County, GA"	"13073"	923	147450	6.260	6.789
	"Cook County, GA"	"13075"	157	17167	9.145	8.271
	"Coweta County, GA"	"13077"	1070	140526	7.614	8.001
	"Crawford County, GA"	"13079"	139	12322	11.281	9.688
	"Crisp County, GA"	"13081"	246	22721	10.827	8.648
	"Dade County, GA"	"13083"	180	16257	11.072	8.756
	"Dawson County, GA"	"13085"	205	23604	8.685	7.809
	"Decatur County, GA"	"13087"	316	26822	11.781	9.684
	"DeKalb County, GA"	"13089"	4394	740321	5.935	6.710
	"Dodge County, GA"	"13091"	246	20563	11.963	10.354
	"Dooly County, GA"	"13093"	129	13763	9.373	7.717
	"Dougherty County, GA"	"13095"	940	90017	10.442	9.578
	"Douglas County, GA"	"13097"	971	142224	6.827	8.208
	"Early County, GA"	"13099"	131	10339	12.670	9.339
	"Echols County, GA"	"13101"	30	3962	7.572	8.533
	"Effingham County, GA"	"13103"	447	58712	7.613	8.751
	"Elbert County, GA"	"13105"	260	19143	13.582	9.651
	"Emanuel County, GA"	"13107"	293	22635	12.945	11.089
