"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","(X)","13.5%","23.5%","55.4%","7.6%","(X)","5.2%","8.5%","26.9%","25.0%","11.6%","15.6%","7.3%","86.4%","22.8%","(X)","86.6%","29.3%","(X)","86.4%","23.1%","(X)","89.3%","23.8%","(X)","81.8%","17.0%","","(X)","88.8%","25.8%","(X)","90.7%","26.5%","(X)","84.4%","14.7%","(X)","88.8%","21.4%","(X)","73.1%","34.0%","(X)","100.0%","0.0%","(X)","54.5%","5.4%","(X)","85.4%","16.4%","(X)","53.2%","9.5%","","38.9%","20.3%","12.3%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alexander County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,929","434","1,061","1,386","48","26,287","1,758","3,337","10,422","4,917","2,351","2,394","1,108","(X)","(X)","4,191","3,416","411","4,864","4,328","705","10,372","8,597","1,451","6,860","4,851","935","","24,089","19,615","3,359","23,775","19,436","3,340","1,535","1,086","101","36","28","0","116","112","6","35","35","0","323","182","9","153","134","27","655","379","32","","(X)","(X)","(X)","(X)","","29,186","20,097","27,329","30,246","39,104","48,073"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.8%","36.2%","47.3%","1.6%","(X)","6.7%","12.7%","39.6%","18.7%","8.9%","9.1%","4.2%","80.6%","13.3%","(X)","81.5%","9.8%","(X)","89.0%","14.5%","(X)","82.9%","14.0%","(X)","70.7%","13.6%","","(X)","81.4%","13.9%","(X)","81.7%","14.0%","(X)","70.7%","6.6%","(X)","77.8%","0.0%","(X)","96.6%","5.2%","(X)","100.0%","0.0%","(X)","56.3%","2.8%","(X)","87.6%","17.6%","(X)","57.9%","4.9%","","27.2%","11.9%","9.7%","7.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,638","239","608","775","16","13,206","1,017","1,737","5,572","2,221","949","1,183","527","(X)","(X)","2,370","1,831","173","2,508","2,233","237","5,270","4,235","703","3,058","2,153","597","","11,918","9,522","1,659","11,748","9,425","1,659","941","616","45","36","28","0","61","61","3","0","0","0","155","137","0","95","88","3","339","248","0","","(X)","(X)","(X)","(X)","","33,895","22,778","31,622","36,880","38,271","48,500"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.6%","37.1%","47.3%","1.0%","(X)","7.7%","13.2%","42.2%","16.8%","7.2%","9.0%","4.0%","79.1%","12.9%","(X)","77.3%","7.3%","(X)","89.0%","9.4%","(X)","80.4%","13.3%","(X)","70.4%","19.5%","","(X)","79.9%","13.9%","(X)","80.2%","14.1%","(X)","65.5%","4.8%","(X)","77.8%","0.0%","(X)","100.0%","4.9%","(X)","-","-","(X)","88.4%","0.0%","(X)","92.6%","3.2%","(X)","73.2%","0.0%","","24.3%","11.2%","8.1%","6.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,291","195","453","611","32","13,081","741","1,600","4,850","2,696","1,402","1,211","581","(X)","(X)","1,821","1,585","238","2,356","2,095","468","5,102","4,362","748","3,802","2,698","338","","12,171","10,093","1,700","12,027","10,011","1,681","594","470","56","0","0","0","55","51","3","35","35","0","168","45","9","58","46","24","316","131","32","","(X)","(X)","(X)","(X)","","23,665","15,745","22,264","22,880","40,585","47,768"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.1%","35.1%","47.3%","2.5%","(X)","5.7%","12.2%","37.1%","20.6%","10.7%","9.3%","4.4%","82.1%","13.7%","(X)","87.0%","13.1%","(X)","88.9%","19.9%","(X)","85.5%","14.7%","(X)","71.0%","8.9%","","(X)","82.9%","14.0%","(X)","83.2%","14.0%","(X)","79.1%","9.4%","(X)","-","-","(X)","92.7%","5.5%","(X)","100.0%","0.0%","(X)","26.8%","5.4%","(X)","79.3%","41.4%","(X)","41.5%","10.1%","","30.1%","12.7%","10.9%","8.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Alleghany County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","859","181","381","251","46","8,022","419","1,102","2,590","1,632","786","961","532","(X)","(X)","821","650","153","1,321","1,054","262","3,302","2,861","519","2,578","1,936","559","","7,539","6,165","1,480","7,320","6,011","1,472","175","164","0","82","82","0","17","17","0","0","0","0","170","38","0","39","35","13","489","288","21","","(X)","(X)","(X)","(X)","","22,022","16,888","21,704","22,210","39,426","52,813"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.1%","44.4%","29.2%","5.4%","(X)","5.2%","13.7%","32.3%","20.3%","9.8%","12.0%","6.6%","81.0%","18.6%","(X)","79.2%","18.6%","(X)","79.8%","19.8%","(X)","86.6%","15.7%","(X)","75.1%","21.7%","","(X)","81.8%","19.6%","(X)","82.1%","20.1%","(X)","93.7%","0.0%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","22.4%","0.0%","(X)","89.7%","33.3%","(X)","58.9%","4.3%","","34.4%","16.4%","12.1%","1.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","480","80","270","116","14","3,912","252","501","1,358","847","355","410","189","(X)","(X)","407","329","23","720","535","65","1,604","1,430","256","1,181","865","255","","3,618","2,983","599","3,470","2,874","591","68","63","0","47","47","0","17","17","0","0","0","0","147","38","0","15","11","0","347","195","8","","(X)","(X)","(X)","(X)","","26,268","18,597","27,620","26,591","47,188","90,917"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16.7%","56.3%","24.2%","2.9%","(X)","6.4%","12.8%","34.7%","21.7%","9.1%","10.5%","4.8%","80.8%","15.3%","(X)","80.8%","5.7%","(X)","74.3%","9.0%","(X)","89.2%","16.0%","(X)","73.2%","21.6%","","(X)","82.4%","16.6%","(X)","82.8%","17.0%","(X)","92.6%","0.0%","(X)","100.0%","0.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","25.9%","0.0%","(X)","73.3%","0.0%","(X)","56.2%","2.3%","","28.3%","13.5%","12.8%","1.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","379","101","111","135","32","4,110","167","601","1,232","785","431","551","343","(X)","(X)","414","321","130","601","519","197","1,698","1,431","263","1,397","1,071","304","","3,921","3,182","881","3,850","3,137","881","107","101","0","35","35","0","0","0","0","0","0","0","23","0","0","24","24","13","142","93","13","","(X)","(X)","(X)","(X)","","20,043","9,670","19,347","17,448","33,750","50,700"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.6%","29.3%","35.6%","8.4%","(X)","4.1%","14.6%","30.0%","19.1%","10.5%","13.4%","8.3%","81.3%","21.8%","(X)","77.5%","31.4%","(X)","86.4%","32.8%","(X)","84.3%","15.5%","(X)","76.7%","21.8%","","(X)","81.2%","22.5%","(X)","81.5%","22.9%","(X)","94.4%","0.0%","(X)","100.0%","0.0%","(X)","-","-","(X)","-","-","(X)","0.0%","0.0%","(X)","100.0%","54.2%","(X)","65.5%","9.2%","","40.4%","19.6%","11.4%","1.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Anson County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,437","465","1,077","807","88","18,180","952","2,614","7,470","4,054","1,358","1,204","528","(X)","(X)","3,567","2,958","524","3,349","2,620","255","7,107","6,039","519","4,157","2,997","434","","9,182","7,790","1,370","8,836","7,668","1,328","8,462","6,479","273","86","28","0","180","125","53","0","0","0","88","36","11","182","156","25","453","170","53","","(X)","(X)","(X)","(X)","","27,586","16,154","26,311","28,145","45,448","46,094"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.1%","44.2%","33.1%","3.6%","(X)","5.2%","14.4%","41.1%","22.3%","7.5%","6.6%","2.9%","80.4%","9.5%","(X)","82.9%","14.7%","(X)","78.2%","7.6%","(X)","85.0%","7.3%","(X)","72.1%","10.4%","","(X)","84.8%","14.9%","(X)","86.8%","15.0%","(X)","76.6%","3.2%","(X)","32.6%","0.0%","(X)","69.4%","29.4%","(X)","-","-","(X)","40.9%","12.5%","(X)","85.7%","13.7%","(X)","37.5%","11.7%","","38.4%","14.6%","17.3%","4.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,371","262","598","467","44","9,544","546","1,624","4,117","1,896","541","605","215","(X)","(X)","2,200","1,740","239","1,950","1,502","117","3,649","2,938","270","1,745","1,194","194","","4,735","3,857","682","4,505","3,805","682","4,415","3,281","60","86","28","0","126","98","53","0","0","0","77","25","0","105","85","25","326","89","0","","(X)","(X)","(X)","(X)","","32,056","23,333","34,025","35,194","47,299","50,694"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.1%","43.6%","34.1%","3.2%","(X)","5.7%","17.0%","43.1%","19.9%","5.7%","6.3%","2.3%","77.3%","8.6%","(X)","79.1%","10.9%","(X)","77.0%","6.0%","(X)","80.5%","7.4%","(X)","68.4%","11.1%","","(X)","81.5%","14.4%","(X)","84.5%","15.1%","(X)","74.3%","1.4%","(X)","32.6%","0.0%","(X)","77.8%","42.1%","(X)","-","-","(X)","32.5%","0.0%","(X)","81.0%","23.8%","(X)","27.3%","0.0%","","28.5%","10.7%","15.4%","2.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,066","203","479","340","44","8,636","406","990","3,353","2,158","817","599","313","(X)","(X)","1,367","1,218","285","1,399","1,118","138","3,458","3,101","249","2,412","1,803","240","","4,447","3,933","688","4,331","3,863","646","4,047","3,198","213","0","0","0","54","27","0","0","0","0","11","11","11","77","71","0","127","81","53","","(X)","(X)","(X)","(X)","","22,302","12,000","21,409","21,857","35,048","42,344"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","19.0%","44.9%","31.9%","4.1%","(X)","4.7%","11.5%","38.8%","25.0%","9.5%","6.9%","3.6%","83.8%","10.6%","(X)","89.1%","20.8%","(X)","79.9%","9.9%","(X)","89.7%","7.2%","(X)","74.8%","10.0%","","(X)","88.4%","15.5%","(X)","89.2%","14.9%","(X)","79.0%","5.3%","(X)","-","-","(X)","50.0%","0.0%","(X)","-","-","(X)","100.0%","100.0%","(X)","92.2%","0.0%","(X)","63.8%","41.7%","","51.4%","18.6%","18.7%","6.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Ashe County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,767","383","547","795","42","20,231","1,315","2,062","6,370","4,520","2,013","2,799","1,152","(X)","(X)","2,892","2,411","578","3,127","2,668","617","8,030","6,967","1,558","6,182","4,808","1,198","","19,303","16,337","3,740","19,071","16,273","3,726","121","60","33","46","38","14","67","67","54","9","9","0","594","279","66","91","64","44","855","348","80","","(X)","(X)","(X)","(X)","","25,324","16,710","21,835","24,621","41,180","47,015"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","21.7%","31.0%","45.0%","2.4%","(X)","6.5%","10.2%","31.5%","22.3%","10.0%","13.8%","5.7%","83.3%","19.5%","(X)","83.4%","20.0%","(X)","85.3%","19.7%","(X)","86.8%","19.4%","(X)","77.8%","19.4%","","(X)","84.6%","19.4%","(X)","85.3%","19.5%","(X)","49.6%","27.3%","(X)","82.6%","30.4%","(X)","100.0%","80.6%","(X)","100.0%","0.0%","(X)","47.0%","11.1%","(X)","70.3%","48.4%","(X)","40.7%","9.4%","","40.8%","15.4%","13.9%","2.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","981","348","248","372","13","9,764","862","975","3,108","2,275","771","1,193","580","(X)","(X)","1,464","1,161","235","1,579","1,307","266","3,911","3,212","599","2,810","2,247","673","","9,233","7,730","1,744","9,112","7,708","1,744","88","34","21","14","12","4","11","11","4","0","0","0","384","133","0","34","7","0","534","160","0","","(X)","(X)","(X)","(X)","","26,841","18,481","22,454","32,254","41,972","69,286"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","35.5%","25.3%","37.9%","1.3%","(X)","8.8%","10.0%","31.8%","23.3%","7.9%","12.2%","5.9%","81.2%","18.2%","(X)","79.3%","16.1%","(X)","82.8%","16.8%","(X)","82.1%","15.3%","(X)","80.0%","24.0%","","(X)","83.7%","18.9%","(X)","84.6%","19.1%","(X)","38.6%","23.9%","(X)","85.7%","28.6%","(X)","100.0%","36.4%","(X)","-","-","(X)","34.6%","0.0%","(X)","20.6%","0.0%","(X)","30.0%","0.0%","","40.1%","14.7%","8.8%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
